id;name;LENGTH(name);infinitive;is_deleted
5768; базовые знания языка программирования С/С++;80; базовый знание язык программирование с/с++;1
155610;“подвешенный язык” — вести переговоры;73;“подвесить язык” — вести переговоры;1
94955;100% русского языка;32;100% русский язык;1
101523;Arm  на языках си;27;arm  на язык си;1
140463;Javascript css3 html5 php mysql английский язык;61;javascript css3 html5 php mysql английский язык;1
233561;Markup языки (HTML, XML);29;markup язык (html, xml);1
412358;Python и другие языки программирования;66;python и другой язык программирование;1
232469;Shell скриптовые языки;37;shell скриптовый язык;1
243076;SQL (Язык запросов);31;sql (язык запросов);1
264648;SQL и другие языки баз данных;50;sql и другой язык база данные;1
233036;SQL и другие языки запросов;47;sql и другой язык запрос;1
233155;SQL и другие языки программирования;63;sql и другой язык программирование;1
243042;SQL и языки запросов;34;sql и язык запрос;1
236548;SQL-язык запросов;29;sql-язык запрос;1
131155;X-язык;10;x-язык;1
88609;Yes языковой центр;31;yes языковой центр;1
113152;Z-язык;10;z-язык;0
234931;Автоматическая обработка естественного языка;85;автоматический обработка естественный язык;0
242452;Адаптация текстов под культуру корейского языка;89;адаптация текст под культура корейский язык;0
16471;Азербайджанский язык;39;азербайджанский язык;0
131460;Азиатские языки;29;азиатский язык;1
406729;Алгоритмические языки;41;алгоритмический язык;1
237370;Алгоритмы обработки естественного языка;75;алгоритм обработка естественный язык;0
237860;Анализ корпуса языка;38;анализ корпус язык;0
290107;Анализ письменного языка;46;анализ письменный язык;0
308430;Аналитика языка SQL;33;аналитика язык sql;1
98808;Аналитический поиск по российским и иностранным источникам на английском языке;147;аналитический поиск по российский и иностранный источник на английский язык;1
15593;англ язык (в 2);24;англ язык (в 2);1
416432;Английский и другие иностранные языки;70;английский и другой иностранный язык;1
141819;Английский или итальянский язык;59;английский или итальянский язык;1
332322;Английский морской язык;44;английский морской язык;1
246072;Английский юридический язык;52;английский юридический язык;1
134;Английский язык;29;английский язык;0
228122;Английский язык;29;английский язык;1
228123;Английский язык;29;английский язык;1
193492;Английский язык   А1  Начальный;55;английский язык   а1  начальный;1
97948;Английский язык  proficient;41;английский язык  proficient;1
87872;Английский язык  не ниже intermediate;57;английский язык  не ниже intermediate;1
156545;Английский язык  не обязателен;56;английский язык  не обязательный;1
98018;Английский язык - advanced;40;английский язык - advanced;1
15196;Английский язык - B1 - средний;51;английский язык - b1 - средний;1
101624;Английский язык - b1-средний;49;английский язык - b1-средний;1
155265;Английский язык - а1-начальный;54;английский язык - а1-начальный;1
122809;Английский язык - б2 - средне-продвинутый;73;английский язык - б2 - средне-продвинуть;1
106234;Английский язык - базовый;46;английский язык - базовый;1
15902;Английский язык - в совершенстве;59;английский язык - в совершенство;1
15573;Английский язык - выше среднего;57;английский язык - выше среднее;1
20980;Английский язык - начальный;50;английский язык - начальный;1
117060;Английский язык - технический;54;английский язык - технический;1
118449;Английский язык - элементарный;56;английский язык - элементарный;1
153839;Английский язык – не ниже b1;50;английский язык – не ниже b1;1
227368;Английский язык – средний уровень;63;английский язык – средний уровень;1
98077;Английский язык – технический  предпочтительно;88;английский язык – технический  предпочтительно;1
416404;Английский язык (Advanced);40;английский язык (advanced);1
379186;Английский язык (B2 уровень);49;английский язык (b2 уровень);1
239300;Английский язык (B2);34;английский язык (b2);1
241470;Английский язык (Business English);48;английский язык (business english);1
416778;Английский язык (C1-C2);37;английский язык (c1-c2);1
409315;Английский язык (C2);34;английский язык (c2);1
239063;Английский язык (Intermediate и выше);56;английский язык (intermediate и выше);1
5064;Английский язык (Intermediate);44;английский язык (intermediate);1
309638;Английский язык (Professional level);50;английский язык (professional level);1
210969;Английский язык (Upper Intermediate);50;английский язык (upper intermediate);1
15578;Английский язык (базовый уровень);61;английский язык (базовый уровень);1
239434;Английский язык (второй язык);53;английский язык (второй язык);1
299254;Английский язык (для обучения международного персонала);103;английский язык (длить обучение международный персонала);1
239872;Английский язык (для работы с международными операциями);104;английский язык (длить работа с международный операциями);1
224445;Английский язык (как преимущество);63;английский язык (как преимущество);1
332019;Английский язык (морская лексика);61;английский язык (морской лексика);1
332366;Английский язык (морской английский);67;английский язык (морской английский);1
11528;Английский язык (приветствуется);60;английский язык (приветствуется);1
329335;Английский язык (продвинутый уровень);69;английский язык (продвинуть уровень);1
414965;Английский язык (продвинутый);54;английский язык (продвинутый);1
330364;Английский язык (профессиональный уровень);79;английский язык (профессиональный уровень);1
313675;Английский язык (профессиональный);64;английский язык (профессиональный);1
330196;Английский язык (средний уровень);61;английский язык (средний уровень);1
233217;Английский язык (технический);54;английский язык (технический);1
329057;Английский язык (топик: авиация);58;английский язык (топик: авиация);1
252180;Английский язык (уровень Advanced);55;английский язык (уровень advanced);1
242708;Английский язык (уровень C1/C2);52;английский язык (уровень c1/c2);1
266493;Английский язык (уровень Intermediate и выше);71;английский язык (уровень intermediate и выше);1
12207;Английский язык (уровень intermediate);59;английский язык (уровень intermediate);1
171225;Английский язык (чтение технической документации);92;английский язык (чтение технический документации);1
247062;Английский язык (юридическая лексика);69;английский язык (юридический лексика);1
103301;Английский язык adobe photoshop таргетинг facebook ads facebook;86;английский язык adobe photoshop таргетинг facebook ads facebook;1
108923;Английский язык b2 - продвинутый;57;английский язык b2 - продвинуть;1
16942;Английский язык B2 Upper Intermediate+;52;английский язык b2 upper intermediate+;1
273413;Английский язык B2+;33;английский язык b2+;1
12753;Английский язык pre-intermediate;46;английский язык pre-intermediate;1
23230;Английский язык базовый;44;английский язык базовый;1
87342;Английский язык в 2 и выше;46;английский язык в 2 и выше;1
330243;Английский язык для авиации;51;английский язык для авиация;1
311870;Английский язык для общения с диспетчерами;79;английский язык для общение с диспетчер;1
242345;Английский язык для переговоров;59;английский язык для переговоры;1
259615;Английский язык для радиотелефонной связи;78;английский язык для радиотелефонный связь;1
239360;Английский язык для финансовых операций;74;английский язык для финансовый операция;1
156591;Английский язык на среднем уровне  в 1;68;английский язык на среднее уровень  в 1;1
134937;Английский язык на уровне общения;62;английский язык на уровень общение;1
96706;Английский язык на уровне основных финансовых терминов;102;английский язык на уровень основный финансовый термин;1
22219;Английский язык на уровне чтения технической документации;108;английский язык на уровень чтение технический документация;1
223303;Английский язык не ниже B2;46;английский язык не ниже b2;1
88972;Английский язык не ниже upper-intermediate;62;английский язык не ниже upper-intermediate;1
172403;Английский язык переписка;48;английский язык переписка;1
242760;Английский язык письменный;50;английский язык письменный;1
116217;Английский язык приветствуется;58;английский язык приветствоваться;1
156035;Английский язык продвинутый уровень;67;английский язык продвинуть уровень;1
242761;Английский язык разговорный;52;английский язык разговорный;1
108733;Английский язык с2 - в совершенстве;63;английский язык с2 - в совершенство;1
91763;Английский язык свободный деловой;63;английский язык свободный деловой;1
331652;Английский язык технический;52;английский язык технический;1
22924;Английский язык уровень B2;47;английский язык уровень b2;1
89004;Английский язык- уровень upper- intermediate;65;английский язык- уровень upper- intermediate;1
126497;Английский язык- чтение технической литературы;87;английский язык- чтение технический литература;1
132057;Английский язык-в1-средний;48;английский язык-в1-средний;1
96357;Английским языком на уровне advanced;60;английский язык на уровень advanced;1
141969;Английского или немецкого языка;59;английский или немецкий язык;1
89568;Английского языка  от b1;42;английский язык  от b1;1
99764;Английского языка  разговорный  - обязательно;83;английский язык  разговорный  - обязательно;1
165808;Английского языка (от B1);43;английский язык (от b1);1
137192;Английского языка будет преимуществом;71;английский язык быть преимущество;1
117605;Английского языка в объёме;49;английский язык в объём;1
154111;Английского языка на уровне достаточном для чтения технической документации;142;английский язык на уровень достаточный для чтение технический документация;1
134332;Английского языка на уровне носителя;68;английский язык на уровень носитель;1
101204;Английского языка на уровне разговорного;76;английский язык на уровень разговорный;1
94474;Английского языка является преимуществом;77;английский язык являться преимущество;1
98291;Английского языка-преимущество;58;английский язык-преимущество;1
6887;Арабский язык;25;арабский язык;0
89481;Арабский язык - b2 - средне-продвинутый;68;арабский язык - b2 - средне-продвинуть;1
17889;Армянский язык;27;армянский язык;0
242764;Аудирование на иностранном языке;61;аудирование на иностранный язык;0
